epoch,train_losses,val_ious
1,0.3219500894788589,0.5968286524824544
2,0.29415657124625133,0.594511702454009
3,0.2806185783735721,0.6291800125115583
4,0.2597284753498567,0.6332280159402056
5,0.24549619426296027,0.6344085861833728
6,0.23936429660474887,0.6519609389661931
7,0.23514119714956236,0.6284546108067441
8,0.22773788360808897,0.6341581661887721
9,0.223788814511112,0.6537883014095073
10,0.2177965215346919,0.6573306567409412
11,0.21676425044599654,0.6543391684488374
12,0.21247399747117388,0.6567192382755733
13,0.21058465565837692,0.6654901010852282
14,0.2129708915414867,0.6531459926342478
15,0.2035626824754497,0.665764909415018
16,0.20486682649612833,0.6505933541829895
17,0.19869567264418148,0.6582016734038891
18,0.19878600611519895,0.6715396551453338
19,0.19855156620970765,0.6703643389299613
20,0.19482844703077457,0.6679524345462825
21,0.19635039462418685,0.6706501354976576
22,0.19331160683579005,0.6702238102348483
23,0.18030675697703002,0.6818807881300141
24,0.17639759153687098,0.6888281023826729
25,0.17445014293842756,0.6877266833571349
26,0.1713427198548569,0.6911040909436285
27,0.17023035063831066,0.691965829961154
28,0.17229182855464492,0.6877113759112196
29,0.17103572494951125,0.69253759805848
30,0.1692792538922191,0.6851943905661706
31,0.1671817887943149,0.6918100331510816
32,0.17102679310194868,0.6973657293790052
33,0.16446347994914234,0.691154504714369
34,0.16598424937181913,0.6957416234373235
35,0.16166578417599406,0.6995133998848143
36,0.16526241361484592,0.697016997604954
37,0.16078383738728105,0.6998411161558968
38,0.15912851992574975,0.6947729273312757
39,0.15904988619298657,0.6923163212886473
40,0.16095749708369322,0.6958991674338879
41,0.1587445393535261,0.6955077173758526
42,0.15313970741304114,0.7048737943983402
43,0.1488342621322378,0.7114306144973859
44,0.1474347914419687,0.7141085283285906
45,0.1435914539538146,0.7105914761825484
46,0.14635764443833674,0.71679176197571
47,0.1459879909893148,0.7164955487867601
48,0.14422197131370115,0.7174481686686172
49,0.1427579984170585,0.711933896857865
50,0.14282591703249325,0.7170318618518154
51,0.14156207391426426,0.7199198565110058
52,0.14480909089789862,0.7160174181672181
53,0.13995966826384384,0.7215230511564786
54,0.14269051018072476,0.7184761815330609
55,0.14140843387705881,0.7308596052280089
56,0.13918402873666214,0.7237995794030274
57,0.13807461474332386,0.7225691668030356
58,0.13826658861527263,0.7228437913518374
59,0.13798148346486352,0.7258662617936427
60,0.13505816637655982,0.7293551438519744
61,0.13199509350970742,0.7283231774154975
62,0.13121257628291946,0.733121522429849
63,0.13177176975603802,0.7271735374213887
64,0.1288133894853014,0.7339890846589796
65,0.13194047208277845,0.7289889720426935
66,0.1297945730617022,0.7312448349128775
67,0.13099646469126788,0.7318955183434649
68,0.1289171959963268,0.731196385459835
69,0.12685486882823319,0.7303676420734042
70,0.12723415334782096,0.7327632405319993
71,0.12748999729015112,0.7315186959545629
72,0.1263300509989872,0.733763421271123
73,0.12446204872973543,0.7363293158764742
74,0.12545338990134997,0.7346157115332934
75,0.12537052715038277,0.7345019171432573
76,0.1250600421947424,0.7375705779409732
77,0.12500913990439003,0.7362242817473249
78,0.12300199112591076,0.7324486001819169
79,0.12594515166591866,0.7385661417529696
80,0.12355529102449124,0.7386654570800106
81,0.12340784094490288,0.7334937191739375
82,0.12299744885274981,0.7394317731159885
83,0.12387088971028148,0.735163672440717
84,0.12378373227174372,0.734425913517167
85,0.12287855548815922,0.7383892398302246
86,0.1223271296013134,0.7372027736942784
87,0.1218954923184455,0.7416743157672233
88,0.1234392711047223,0.7421120131502346
