epoch,train_losses,val_ious
1,0.45914267929137365,0.5501086395737287
2,0.3033692954241619,0.5152640996148458
3,0.27656359014454146,0.5817968859463125
4,0.2553426189532459,0.6113991970951492
5,0.23823406229450433,0.582290759159101
6,0.23179328817963193,0.6323865730617497
7,0.22235015288961626,0.6445793145008989
8,0.21703990714135024,0.642352301526714
9,0.21015526323798572,0.6322406602872385
10,0.20694296845193608,0.6071256272293426
11,0.203896028495079,0.6485562038582724
12,0.19901090776452432,0.6482430253479932
13,0.19614473631154147,0.6669569941791328
14,0.1928566709008233,0.6714557232083501
15,0.18954873214707846,0.6414444168677201
16,0.18549273618252204,0.662337312021771
17,0.1879647923410956,0.6746762108963889
18,0.18558976359334822,0.6763884413081247
19,0.1827952358808127,0.6667101689287134
20,0.177433307362091,0.6723284334749788
21,0.17909539780824257,0.6735516669782432
22,0.17621422485279956,0.6703937826929866
23,0.16166906671617626,0.6926043243021578
24,0.1582671267079005,0.6971747307358561
25,0.15554763712370354,0.6886092102205431
26,0.15436601989708662,0.6822584577508874
27,0.15230606755705825,0.6800694489801252
28,0.15205512272111385,0.6937653627750036
29,0.1443379463138434,0.7094600700043343
30,0.13973420362525427,0.7150024771690369
31,0.1371260664263683,0.6653589992909819
32,0.13668609807210572,0.6902299611955076
33,0.13670951359406266,0.6735921872628702
34,0.13475037752666572,0.7113991331409764
35,0.12872544897294289,0.721947785567593
