epoch,train_losses,val_ious,val_bdy_ious,boundary_losses,distance_losses
1,1.705119906025128,0.5690012107024321,0.0155966923370756,1.5093947286898772,0.4215423029437407
2,1.2892156831233574,0.6033435540424811,0.1958647366311099,1.1761645825242832,0.19713104434896248
3,0.8729228147467656,0.630142223190617,0.29401811373394887,0.8085209283812461,0.060609882398676956
4,0.7935756461205336,0.6324879841224568,0.2948085345529221,0.7426051611379552,0.04762055638401989
5,0.7588181892352707,0.6471996460412,0.3063482229371329,0.7147487467059503,0.04412271228615741
6,0.7454762611372886,0.6517605640598245,0.3079701281479887,0.7033536328390597,0.042958255800014875
7,0.7339703420323317,0.6658121858899658,0.3188102958170143,0.6949093244181558,0.041798044657239325
8,0.7254767078181582,0.6697598494387962,0.32449426139528686,0.6867169253655261,0.041468300891614206
9,0.721409173345403,0.6732501190256428,0.32822761563835917,0.6831136606252234,0.04103958833034535
10,0.7096984429164145,0.6690798377668535,0.3311855593645895,0.6736313084286635,0.04043857011397341
11,0.3652177903635917,0.6824400658543045,0.34936532740657394,0.6621100843563015,0.03952353679711705
12,0.3650726568169968,0.6793060596730258,0.3385025758195568,0.6631202530942273,0.03911864828737929
13,0.3621045628708784,0.6886429714189993,0.3418082190123764,0.657748398317005,0.03888218564461319
14,0.362037843303062,0.6970265310358357,0.3456162178033107,0.6584390947029453,0.03877227918051005
15,0.35938008541540073,0.6859130408312824,0.3417960238215086,0.6547713534010148,0.03843855718627521
16,0.35871102551551404,0.6921703670475934,0.3469151226249901,0.6533507944780812,0.038024207265608956
17,0.3581586089557348,0.6822154393067231,0.342309547839938,0.6522928769271121,0.03791158852952536
18,0.35731545456847236,0.6929350970564662,0.33675575699355154,0.6515229922105835,0.03758564356193201
19,0.34833833849877627,0.696532736356194,0.353038723001609,0.6375893893502271,0.03677513207540984
20,0.3455483649981307,0.7003696601133089,0.3588704555421262,0.6329353880963635,0.03656157748869051
21,0.21797091241786098,0.7043558351091437,0.3622130457613919,0.631928871312646,0.036291970372352586
22,0.21617369328342606,0.7048034704214817,0.36081898695713766,0.6289107415049556,0.03570313449732883
23,0.21624286096454073,0.7073154807896227,0.36117063321777293,0.6297103197094523,0.035590164236241235
24,0.21550717746438428,0.7042981595606417,0.35483451227884033,0.6286002126976898,0.03532949051225348
25,0.21544917711015446,0.7108582761642095,0.36403745614193583,0.627460754975524,0.03530399360194955
26,0.21488352008036787,0.709195072989206,0.36832963997447815,0.6265090234043655,0.034940619803583664
27,0.21520125021706668,0.7027121073490864,0.3593536532811216,0.6281863217060883,0.03500926073755014
28,0.21492249953461995,0.7134807927382959,0.36115863254746877,0.6271071785952858,0.035055640684408945
29,0.21390203633202629,0.7135246802826185,0.36092935583075964,0.6247106027684521,0.03483179458273963
30,0.21227998665371853,0.7127664753714124,0.36290752303761403,0.6206268513568839,0.034429754330792525
31,0.2124263794247201,0.7162389634428797,0.36250439890333125,0.6211143341487585,0.03440568018895367
32,0.2120598143684986,0.7201236639473889,0.36883296636310786,0.6203714546083183,0.0342328716578032
33,0.2123748095064033,0.7208337493844934,0.36674509942531586,0.6209812111415147,0.03431816182318605
34,0.21237387780239964,0.7232964107313672,0.36870732500746445,0.6225687606139395,0.03402831341194008
35,0.2121673559979774,0.7224689029358529,0.3695211895817035,0.6220573528634811,0.03396598666067213
36,0.21048245495089898,0.7206771716072753,0.36845388726608175,0.6179133281366003,0.03349939307814572
37,0.21060475559568242,0.724175163217493,0.3682390211804493,0.6180392613589967,0.03359593421144494
38,0.2109683531339665,0.7190085870994104,0.3641887792461627,0.6183642218137357,0.03358304435736897
39,0.21030863127814217,0.7259200654319815,0.37460415911030126,0.6179333831669934,0.033358261281618076
40,0.2085321910247054,0.7235821231796935,0.3724636067007039,0.6132178674785758,0.03330789317628019
41,0.20968962097127283,0.7194341537920205,0.36473472436537613,0.6159023404528257,0.0332916266008347
42,0.20856586714043146,0.7254506796598434,0.37152584823402196,0.6144941917051634,0.032886096355807255
43,0.20851987564726493,0.7165326081417702,0.363924946535278,0.6135869746322111,0.03281676665635036
44,0.20620968719187857,0.7310503995096361,0.3728936950902681,0.6091529509313277,0.03237696442079219
45,0.20478164564830859,0.7365925203304033,0.37665384846764643,0.6064203990807713,0.032039074449714135
46,0.20419201514216415,0.7374093053308693,0.3778869036484409,0.6044181538523261,0.0321046749365106
47,0.20351969738055414,0.7367317467122465,0.382820114292003,0.6037599749532576,0.03190141876224975
48,0.20247420856773649,0.7343562881688814,0.3810991211920171,0.6015501206441951,0.03164929571106979
49,0.2025523330673016,0.740664070925197,0.38368104357977173,0.6011656770934017,0.03164537388945806
50,0.20342583059247443,0.7402171669779597,0.3871914945744179,0.6032643458542156,0.031705204829726205
51,0.20254295286261587,0.7400956266635174,0.38029440492391586,0.602048090598689,0.031382699716365786
52,0.20103980280433498,0.7422300931569692,0.38296652847045176,0.5985787006368409,0.03124688737374117
53,0.2013521764058709,0.7411505475237563,0.3867636594820667,0.5990262737453187,0.03109458408003781
54,0.20095626953925697,0.7397636291948525,0.3848269084418142,0.5991786805842924,0.030967600999635234
55,0.20215177007095805,0.7414408744992437,0.3855349997410903,0.6004770896540567,0.03133276087762756
