epoch,train_losses,val_ious,val_bdy_ious,boundary_losses,distance_losses
1,1.7053741094602253,0.5417471689146918,0.07420570514089353,1.5107098089550135,0.4207559816869859
2,1.2751251575076132,0.5928181063484501,0.2669847742528529,1.1653656438755908,0.1952206557266948
3,0.8577789595102694,0.6012952525067974,0.27792036835406275,0.7968299653342966,0.059158374463230266
4,0.7865618031993254,0.6294776889923457,0.30319280237764923,0.7379381042291687,0.0465177165744858
5,0.754983813079144,0.6401420972637228,0.3104820380339751,0.7123678066217859,0.0436272890825117
6,0.7422883895070073,0.6475735580598986,0.3179012857176162,0.7019252681488063,0.04208967119531623
7,0.73440953956936,0.6415136077919522,0.31141823852384415,0.6960180163790342,0.04135272048617182
8,0.7254912181925856,0.6571799279064745,0.32172516209853663,0.6882583566086284,0.04074420863857855
9,0.7213223690465855,0.652375037202964,0.319846151446974,0.6847701034041395,0.04054726131972396
10,0.7113425581121607,0.6590792875032168,0.3302068722409171,0.675961292237552,0.039863239045639494
11,0.4343917707534373,0.6713934730033617,0.33509697865795446,0.6684113824326837,0.0390088805871612
12,0.4312914510228935,0.6775946524497625,0.33207408358921875,0.6636632027886427,0.03902057446412259
13,0.4291144074433493,0.6780054303439887,0.33744123155200806,0.661792424351689,0.038306576578080044
14,0.4297244470477511,0.6775212819511826,0.34013612971112533,0.6622729810024691,0.038380626989560324
15,0.42556913364869337,0.6631835457440969,0.32487970328814275,0.6566966070250033,0.03821555596264556
16,0.4257604640498503,0.6809132952947874,0.3413823915494455,0.6570978034478405,0.03805346184317976
17,0.4246719937275701,0.6683202152316635,0.337762923256771,0.6552033965498107,0.03808392335759291
18,0.42296402710696535,0.6859058020888148,0.3431587764942968,0.6533401356215363,0.03781156004136333
19,0.41906432415845046,0.6850064082725628,0.34645865031996287,0.6473720932169579,0.03750666767460494
20,0.41775442136025676,0.6767990621360572,0.3349282586494008,0.645608444466119,0.03751751165773478
21,0.4190084913891737,0.6781261120293591,0.3374186705898594,0.647302725209311,0.037410286964003135
22,0.4161016898350504,0.6839073650740288,0.344471877491152,0.6434317515978634,0.0372687153225771
23,0.4161376212644089,0.6804101350339683,0.3356812993014181,0.6445385274626696,0.03691531722227258
24,0.41390432717450243,0.6764397846685873,0.34128385419781143,0.6413968358023582,0.036552690293754325
25,0.41508051437729454,0.6910763382911682,0.3444031241375047,0.6421202854491744,0.03683346710183718
26,0.4117788002149237,0.6848614312507011,0.3418877736942188,0.6381615477617283,0.03639975071919656
27,0.41138357208857357,0.6858321883388467,0.3408638629558924,0.6378948297923742,0.03638683256944292
28,0.4115743607587782,0.6869101101482237,0.34852684671814377,0.6377849452731552,0.03616700884679479
29,0.4099731243917967,0.6948781686054694,0.34769106233442154,0.6363881140845628,0.03578371915699272
30,0.40939122611345286,0.6922401117311942,0.35084716975688934,0.6352013402424574,0.03590306359320981
31,0.4063483372890095,0.6822827156331088,0.3433524126539359,0.6315981692828416,0.03541696229917808
32,0.40597832487711727,0.6988838149889095,0.35260630701039286,0.6305438682894657,0.03546661526956452
33,0.40714497167502656,0.6994191319555849,0.341481416410691,0.6327307681988531,0.03511243881244505
34,0.4053906182990546,0.68802701500622,0.34745141843686234,0.6298494471217992,0.03537142232899576
35,0.40502034366741113,0.6989014124548113,0.3577753287312147,0.6295621110310734,0.035056304854083384
36,0.40456044246719153,0.6863883202140396,0.3462381749539762,0.6288311599464547,0.0350329558342797
37,0.4061699885963987,0.6967207241702724,0.3530004531950564,0.6316323467488989,0.03479534119316742
38,0.40282021966403664,0.6917628239135485,0.3425829936120961,0.6269992866613759,0.034579855621929056
39,0.40238663126991064,0.697116540895926,0.3510694888395232,0.6262226967274532,0.03448209376312767
40,0.4008172236815247,0.6978425814493282,0.3524558060878032,0.6238502200959892,0.0342970594267898
41,0.4001899531473479,0.6973752548565736,0.3505774675994306,0.6231826578390883,0.03429256232754159
42,0.3998884641066346,0.6978937347193022,0.3546057099828849,0.6230988054959034,0.03403137191341802
43,0.40251777593186283,0.6985309434098166,0.3542748949414975,0.6271069599093024,0.034078540496604436
44,0.40039261514416324,0.699017770789765,0.35503099415753336,0.6244862486478004,0.033673184113290934
45,0.3983900277484399,0.7039901843747577,0.35263597200045715,0.6214976050341089,0.033672190465211055
46,0.39679169054731167,0.6963119474617211,0.35186322939556997,0.6188260501968983,0.033538881015452104
47,0.3964205577511836,0.7038413841982145,0.3536835556497445,0.618498199018602,0.03365431144299564
48,0.3961326622311979,0.70813196333679,0.35538946011581934,0.6180949455235192,0.03346525580199505
49,0.39300679611264644,0.7032847799159385,0.35809864365571253,0.613486309710623,0.033200046943926566
50,0.39620927027061126,0.707343578338623,0.3592712599280718,0.6183123962871043,0.033229758594274114
51,0.3928305088660009,0.6977340659579715,0.35358217459272695,0.6140519386672323,0.03289588029041835
52,0.39254209165280185,0.7042606517269805,0.35819253808743245,0.6135284992208253,0.032898633604163605
53,0.3916428159324789,0.7032742242555361,0.35963545578557093,0.6123831613885665,0.03256676763728414
54,0.3918731593027863,0.7063452593378119,0.3606971075405946,0.6131692785044985,0.03250192290127481
55,0.39177269842030654,0.7038223513880292,0.35695985765070526,0.612569629739169,0.032619323740385904
56,0.39288756820935844,0.7107903550605517,0.3618595708866377,0.614598380420802,0.03243853851084823
57,0.3901294430164754,0.7074577788243422,0.3597367999924196,0.6102619435600046,0.032134182509607014
58,0.38948873834805275,0.703713353421237,0.3611892105357067,0.6099769934859293,0.03200642917139945
59,0.3899049982682837,0.705919250040441,0.35820000920746775,0.6105163835828215,0.032014526051720255
60,0.3881536994777849,0.7141852439255327,0.3671738406693613,0.6084592645485654,0.031803831146591355
61,0.39058053869843073,0.7102463329966003,0.3629718300055813,0.6118428393842418,0.031846966766100694
62,0.3900762190184089,0.7059217949171324,0.3533341995364911,0.6113223797632159,0.031938873263196735
63,0.3891735875362422,0.7113875037914997,0.35892142053391485,0.6101986853335905,0.03163191698389859
64,0.3866613037350235,0.7092864569779989,0.3615749756226668,0.6068117002171461,0.03155508108513347
65,0.38609850457503936,0.7090696668302691,0.3629666595040141,0.6053708877172893,0.031316473959299894
66,0.3873826679312735,0.7118837325959593,0.3678873990838592,0.6071287653958838,0.03148860861976399
67,0.38393782969220913,0.7115932191545898,0.367310414845879,0.6024948334124308,0.03101408076647402
68,0.38354521410050246,0.7121809273958206,0.37272111910420497,0.6021819625291401,0.030973171910633406
69,0.3831968777415695,0.7168953100571761,0.36988954648778244,0.6015931795074672,0.031100305725435755
70,0.38278261111864864,0.7115755890672272,0.3646107269702731,0.6004758511793898,0.031091698302343845
71,0.3839397777266063,0.7142250787567448,0.3687776560718949,0.6024851392153587,0.031141004191374617
72,0.38296368819861687,0.7178254457744392,0.37246666929206335,0.6020076675626606,0.03072454697697236
73,0.38113169194081536,0.7144249146049088,0.36718805980038,0.5991459946583563,0.030434775875035812
74,0.38158505381984514,0.7152906873741666,0.3734172036921656,0.5995513257719958,0.03057017228836289
75,0.3802773029934424,0.7202352522998243,0.3690902502150149,0.5984499328372421,0.03060533396848843
76,0.3804467266533562,0.7159085841597738,0.37214310104782516,0.59780387666852,0.03051584374172289
77,0.37951130692055607,0.7176959160211924,0.36879665485105,0.5972328712915804,0.030352320922570425
78,0.37795915843683703,0.7213239218737628,0.3709897723149609,0.5947744321497634,0.030468973944618432
79,0.37844708816183303,0.7263727526406984,0.37715485510793895,0.5952750094514658,0.03027708920627934
80,0.37703909747836534,0.7232348145665349,0.37556891244005514,0.5940041558327528,0.029856268303793038
81,0.37861239940640057,0.7209982839790551,0.36790821419374364,0.5953592956066132,0.030274675211808787
82,0.3764741428883002,0.7271689470555331,0.37492360496843186,0.5930995760110458,0.02968735227507536
83,0.3772917356303934,0.7279303319550849,0.3776055991246894,0.5937536838925332,0.030342617971701832
84,0.37544659278498577,0.7275426097818323,0.3760966882109642,0.590959500127278,0.030238557575149747
85,0.3740304673897935,0.723575309321687,0.37521281234315923,0.5895081402498707,0.029694944442132228
86,0.37515975153486886,0.7253533126534643,0.37538613741462296,0.5911410549598343,0.02977695990569966
87,0.37656143246657203,0.7302955248065897,0.3751251598870432,0.5933981208264217,0.02992336575971732
88,0.37323382334090743,0.7232838490524808,0.37878356048384226,0.5881915342685713,0.029529145979179456
89,0.3719907784421289,0.7297907052813349,0.38128188252449036,0.5867320205571301,0.029483442611153217
90,0.37293374324821366,0.7290270207701502,0.3784031831734889,0.5880495155223807,0.029495848705133887
91,0.3747879718350876,0.7264671857292587,0.38524650399749344,0.5904105182597255,0.029843928025393356
92,0.3734124643607351,0.7275652728370718,0.3813757419183448,0.5884361221318359,0.02933740715016277
93,0.3694511624529907,0.7366320494864438,0.385900154709816,0.5829335395183173,0.02936384931791561
94,0.3708694689102954,0.731806339847075,0.3846083355916513,0.5847946333193534,0.029383827674714372
95,0.37017297724408094,0.7357021481604189,0.3864283261669649,0.5841099060436158,0.029004651372902628
96,0.3699849097395106,0.7346094991709735,0.38654548976872416,0.5839056016642079,0.028930375994574088
97,0.37054628245659654,0.7312143469178999,0.3830221891403198,0.5844946180187395,0.029222361559092795
98,0.36898559362408245,0.736404299736023,0.3891251163708197,0.5823214551491135,0.02900821491185919
99,0.3702105203382798,0.7378191094140749,0.3875264847600782,0.5841533226364709,0.02905731107213188
100,0.3677902817726135,0.7361052306117238,0.3867923452242001,0.5810060692321726,0.02873570363294753
101,0.3689972598601527,0.7392952325376304,0.3917145352508571,0.5827008924183178,0.028920595105038163
102,0.3697557464597982,0.7366393272941177,0.38590412445970484,0.5835883208509192,0.029079997912049294
103,0.3667798723783916,0.7366306266269168,0.3894357133556057,0.5790414022911123,0.02877091908185352
104,0.3649012089385921,0.7426153348909842,0.3875689830731701,0.5770787884554358,0.028332347482595426
105,0.3666119228654347,0.741603542018581,0.3908657677270271,0.5796202705988704,0.02853552810212044
106,0.36604945427728597,0.7403392300412461,0.3931742811927924,0.5786647988871096,0.02858091366982704
107,0.36728618586429557,0.7413795622619422,0.3905096710533709,0.5804161938994411,0.02832816779588066
108,0.3644154519351269,0.7438156592684824,0.3912073836938755,0.5766807584022092,0.028288175215239002
109,0.3638586143584788,0.7421366612653475,0.39070466039954005,0.5752500030164426,0.028408416225845088
110,0.365834103814571,0.7433299245061101,0.39154705505918813,0.5786247294103734,0.028479585913566193
111,0.36475091552164773,0.740957951223528,0.39080212547166926,0.5771496713975184,0.02821574432603735
112,0.3628202514030014,0.7438604078582816,0.3919353293808731,0.5738863941955892,0.028423142018680278
113,0.3624622173887064,0.7438595013038533,0.3942080575066644,0.5738355431947285,0.027989005371165356
114,0.3623920087114536,0.7468402981758118,0.39596738364245443,0.573566083208286,0.028011929885875243
115,0.3630445501910135,0.7442595874135559,0.3934824325748392,0.574377560879997,0.02816531569426784
116,0.36355581543958226,0.7476450361915536,0.39552368304213964,0.5751092718729793,0.028181923089275588
117,0.36103365374506535,0.7440830686607877,0.3945221441823083,0.5715988996492718,0.027700951386484676
118,0.36220244173303806,0.7461979590557717,0.3954628730142439,0.5732127711838015,0.028069919350305922
119,0.36144462838107816,0.7475021827865291,0.3955501696547946,0.5723483539075168,0.02792866402162627
120,0.36118538336949135,0.745177252469836,0.3940027593760877,0.5724312145351956,0.02760771805668447
121,0.3615707466219879,0.7454148494714016,0.3956698505459605,0.5729663897903299,0.027710965653379216
122,0.36055769916280545,0.7458382635503202,0.39555743215857325,0.571266240837631,0.027702677944109303
123,0.3613347237224058,0.7465199578452755,0.3933603300436123,0.5724715401288185,0.02787081864201575
124,0.36065782601515994,0.7474820118498158,0.3953924982531651,0.5712643004318146,0.027950888035545577
125,0.35925060693721317,0.7477491393282607,0.3951497108146951,0.5693998308311957,0.0276901757363675
126,0.35946718529629623,0.7469324691070093,0.395123652912475,0.5697787252505891,0.027661343114673075
127,0.358923941545519,0.7519218688075607,0.3971869617297843,0.5689883615580028,0.027497995257021624
128,0.35912973502390216,0.7496033190069972,0.39564470040637095,0.5693101177036559,0.027703152994908165
129,0.3600439213648591,0.7488868063366091,0.39740984101553223,0.5708692705468513,0.027665078283983693
130,0.3596528104344326,0.7485874895308469,0.396585212366001,0.570265788979091,0.02750984405774509
131,0.3586187350465169,0.7521437479032053,0.39936841742412466,0.5686471728741512,0.027532335720422324
132,0.3584713132308205,0.7532557881361729,0.3991470073123236,0.5684070069431851,0.027513114843555685
133,0.359441844981685,0.7523216556858372,0.39876843747254964,0.5697678235000311,0.027565850154735123
134,0.3586098008595229,0.7497036344296223,0.39741259491121445,0.5685438819916175,0.027477338585888158
135,0.3588012711179948,0.7530739677918924,0.3984064608812332,0.5688922456100125,0.02748518300468401
136,0.3582083979564315,0.7530806628433434,0.3977472147828824,0.5679936486299534,0.027728561979461042
137,0.35982597128523086,0.75243470636574,0.39651633315795176,0.5704286036434434,0.027580400884354886
138,0.3580112882441628,0.7534980790035145,0.39736102279779073,0.5676275572068862,0.02723080421394252
139,0.35939306203822635,0.7549362359820185,0.3975866076511306,0.5700427563320655,0.027451835505969493
